question,answer,question_arm,answer_arm
what are the countries and capitals of central america?,"The countries and capitals of Central America are:

- Belize City, Belize
- San José, Costa Rica
- San Salvador, El Salvador
- Guatemala City, Guatemala
- Tegucigalpa, Honduras
- Managua, Nicaragua
- Panama City, Panama",որո՞նք են կենտրոնական Ամերիկայի երկրներն ու մայրաքաղաքները:,"Կենտրոնական Ամերիկայի երկրներն ու մայրաքաղաքներն են.

- Բելիզ Սիթի, Բելիզ
- Սան Խոսե, Կոստա Ռիկա
- Սան Սալվադոր, Սալվադոր
- Գվատեմալա Սիթի, Գվատեմալա
- Տեգուսիգալպա, Հոնդուրաս
- Մանագուա, Նիկարագուա
- Պանամա Սիթի, Պանամա"
where is puntland somalia?,"Puntland is located in northeastern Somalia, on the eastern coast of the Horn of Africa.",որտեղ է Պունտլենդ Սոմալին:,Պունտլենդը գտնվում է Սոմալիի հյուսիս-արևելքում՝ Աֆրիկայի եղջյուրի արևելյան ափին։
what animal is on the western australian flag?,A black swan is on the Western Australian flag.,Ո՞ր կենդանին է արևմտյան Ավստրալիայի դրոշի վրա:,Արևմտյան Ավստրալիայի դրոշի վրա սև կարապ է:
where did drew stanton play in college?,Drew Stanton played college football at Michigan State University.,որտեղ է խաղացել Դրյու Սթենթոնը քոլեջում:,Դրյու Սթենթոնը քոլեջի ֆուտբոլ է խաղացել Միչիգանի պետական ​​համալսարանում:
what is kareem abdul jabbar real name?,Kareem Abdul-Jabbar's real name is Ferdinand Lewis Alcindor Jr.,ինչ է Կարիմ Աբդուլ Ջաբբար իրական անունը:,Քարիմ Աբդուլ-Ջաբբարի իսկական անունը Ֆերդինանդ Լյուիս Ալսինդոր կրտսեր է:
what countries fall in eastern europe?,"Some countries that fall in Eastern Europe are Russia, Ukraine, Poland, Hungary, Romania, and Bulgaria.",ո՞ր երկրներն են ընկնում Արևելյան Եվրոպայում:,"Արևելյան Եվրոպայի երկրներից են Ռուսաստանը, Ուկրաինան, Լեհաստանը, Հունգարիան, Ռումինիան և Բուլղարիան:"
what are taylor swift's albums?,"Taylor Swift has released the following albums:
1. Taylor Swift
2. Fearless
3. Speak Now
4. Red
5. 1989
6. Reputation
7. Lover
8. Folklore
9. Evermore",որո՞նք են Թեյլոր Սվիֆթի ալբոմները:,"Թեյլոր Սվիֆթը թողարկել է հետևյալ ալբոմները.
1. Թեյլոր Սվիֆթ
2. Անվախ
3. Խոսիր հիմա
4. Կարմիր
5. 1989 թ
6. Հեղինակություն
7. Սիրահար
8. Բանահյուսություն
9. Հավերժ"
who is the prime minister of ethiopia now?,"As of my knowledge, the current Prime Minister of Ethiopia is Abiy Ahmed Ali.",ով է այժմ Եթովպիայի վարչապետը.,Իմ տեղեկություններով՝ Եթովպիայի ներկայիս վարչապետը Աբի Ահմեդ Ալին է։
when was mary poppins made?,Mary Poppins was made in 1964.,Ե՞րբ է պատրաստվել Մերի Փոփինսը,Mary Poppins-ը ստեղծվել է 1964 թվականին։
what did king edward vi died from?,King Edward VI died from tuberculosis.,ինչի՞ց է մահացել թագավոր Էդվարդ VI-ը.,Թագավոր Էդվարդ VI-ը մահացել է տուբերկուլյոզից։
what did robert boyle accomplish?,"Robert Boyle is known for his accomplishments in the field of chemistry and is considered the founder of modern chemistry. He formulated Boyle's law, which describes the relationship between pressure and volume of a gas at constant temperature.",ի՞նչ է արել Ռոբերտ Բոյլը:,"Ռոբերտ Բոյլը հայտնի է քիմիայի ոլորտում իր ձեռքբերումներով և համարվում է ժամանակակից քիմիայի հիմնադիրը։ Նա ձևակերպեց Բոյլի օրենքը, որը նկարագրում է գազի ճնշման և ծավալի հարաբերությունը մշտական ​​ջերմաստիճանում։"
who did johnny bench play for?,Johnny Bench played for the Cincinnati Reds.,ո՞ւմ համար է խաղացել Ջոնի Բենչը:,Ջոնի Բենչը խաղացել է Cincinnati Reds-ում։
who does the islamic worship?,Muslims worship Allah in Islamic worship.,ո՞ւմ է պաշտում իսլամը:,Մուսուլմանները պաշտում են Ալլահին իսլամական պաշտամունքի մեջ:
where is napoleon buried?,"Napoleon is buried in Les Invalides in Paris, France.",որտեղ է թաղված Նապոլեոնը.,"Նապոլեոնը թաղված է Ֆրանսիայի Les Invalides-ում, Փարիզում:"
what language do people speak in iceland?,The language spoken in Iceland is Icelandic.,Ի՞նչ լեզվով են խոսում Իսլանդիայում:,Իսլանդիայում խոսվող լեզուն իսլանդերենն է։
who sang at the mtv movie awards 2011?,"Various artists performed at the MTV Movie Awards 2011, including Foo Fighters, Lupe Fiasco, and Trey Songz.",Ո՞վ է երգել MTV կինոմրցանակաբաշխության ժամանակ 2011 թ.,"Տարբեր արտիստներ ելույթ են ունեցել MTV Movie Awards 2011-ին, այդ թվում՝ Foo Fighters-ը, Lupe Fiasco-ն և Trey Songz-ը:"
where do houston aeros play?,The Houston Aeros play at the Toyota Center.,որտեղ է խաղում Հյուսթոն Էրոսը,Houston Eros-ը խաղում է Toyota Center-ում:
what is the new york knicks starting lineup?,"The New York Knicks starting lineup can vary from game to game, as it depends on the coach's decision and the players' availability. To get the most up-to-date information on the Knicks' starting lineup, it is recommended to check the team's official website or reliable sports news sources.",ինչպիսի՞ն է Նյու Յորք Նիքսի մեկնարկային կազմը:,"Նյու Յորք Նիքսի մեկնարկային կազմը կարող է տարբերվել խաղից խաղ, քանի որ դա կախված է մարզչի որոշումից և խաղացողների հասանելիությունից: Նիքսի մեկնարկային կազմի մասին ամենաարդիական տեղեկատվություն ստանալու համար խորհուրդ է տրվում ստուգել թիմի պաշտոնական կայքը կամ սպորտային լուրերի հավաստի աղբյուրները:"
what to see and do in galway ireland?,"In Galway, Ireland, you can explore the charming streets of the city, visit historical sites like Galway Cathedral and Eyre Square, enjoy traditional Irish music in the pubs, take a walk along the Salthill Promenade, and visit nearby attractions like the Cliffs of Moher and Connemara National Park.",ի՞նչ տեսնել և անել Գալվեյ Իռլանդիայում:,"Իռլանդիայի Գալվեյում դուք կարող եք ուսումնասիրել քաղաքի հմայիչ փողոցները, այցելել պատմական վայրեր, ինչպիսիք են Գալվեյի տաճարը և Էյր հրապարակը, վայելել ավանդական իռլանդական երաժշտությունը փաբերում, զբոսնել Սոլթհիլ զբոսավայրով և այցելել մոտակա տեսարժան վայրեր, ինչպիսիք են Մոհերի ժայռերը: և Կոնեմարա ազգային պարկը։"
what year did brandon roy get drafted?,2006,Ո՞ր տարում է Բրենդոն Ռոյը զորակոչվել:,2006թ
what are the names of michael jackson children?,"Michael Jackson's children are named Prince Jackson, Paris Jackson, and Prince Michael Jackson II (also known as Blanket).",ինչ են Մայքլ Ջեքսոնի երեխաների անունները:,"Մայքլ Ջեքսոնի երեխաները կոչվում են Փրինս Ջեքսոն, Փերիս Ջեքսոն և արքայազն Մայքլ Ջեքսոն II (նաև հայտնի է որպես Բլանկետ)։"
what is pennsylvania's state flower called?,Pennsylvania's state flower is called the Mountain Laurel.,ինչպես է կոչվում Փենսիլվանիայի պետական ​​ծաղիկը:,Փենսիլվանիայի պետական ​​ծաղիկը կոչվում է լեռնային դափնի:
what book did niccolo machiavelli write?,The Prince.,ինչ գիրք է գրել Նիկոլո Մաքիավելին,Արքայազնը.
what religions are found in australia?,"Christianity, Islam, Buddhism, Hinduism, Sikhism, Judaism, and various Indigenous Australian spiritual traditions are found in Australia.",ի՞նչ կրոններ են հանդիպում Ավստրալիայում:,"Ավստրալիայում հանդիպում են քրիստոնեությունը, իսլամը, բուդդիզմը, հինդուիզմը, սիկհիզմը, հուդայականությունը և ավստրալական բնիկ տարբեր հոգևոր ավանդույթներ:"
what college did drew bledsoe?,Drew Bledsoe attended Washington State University.,Ո՞ր քոլեջն է նկարել Բլեդսոյին:,Դրյու Բլեդսոն հաճախել է Վաշինգտոնի պետական ​​համալսարան:
where is the mtv headquarters?,"The MTV headquarters is located in New York City, United States.",որտեղ է mtv-ի գլխավոր գրասենյակը,"MTV-ի գլխամասային գրասենյակը գտնվում է Նյու Յորքում, ԱՄՆ:"
